,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
2,1,3,female,26.0,0,0,7.925,,S
8,1,3,female,27.0,0,2,11.1333,,S
10,1,3,female,4.0,1,1,16.7,G6,S
14,0,3,female,14.0,0,0,7.8542,,S
18,0,3,female,31.0,1,0,18.0,,S
19,1,3,female,,0,0,7.225,,C
22,1,3,female,15.0,0,0,8.0292,,Q
24,0,3,female,8.0,3,1,21.075,,S
25,1,3,female,38.0,1,5,31.3875,,S
28,1,3,female,,0,0,7.8792,,Q
32,1,3,female,,0,0,7.75,,Q
38,0,3,female,18.0,2,0,18.0,,S
39,1,3,female,14.0,1,0,11.2417,,C
40,0,3,female,40.0,1,0,9.475,,S
44,1,3,female,19.0,0,0,7.8792,,Q
47,1,3,female,,0,0,7.75,,Q
49,0,3,female,18.0,1,0,17.8,,S
68,1,3,female,17.0,4,2,7.925,,S
71,0,3,female,16.0,5,2,46.9,,S
79,1,3,female,30.0,0,0,12.475,,S
82,1,3,female,,0,0,7.7875,,Q
85,1,3,female,33.0,3,0,15.85,,S
100,0,3,female,28.0,0,0,7.8958,,S
106,1,3,female,21.0,0,0,7.65,,S
109,1,3,female,,1,0,24.15,,Q
111,0,3,female,14.5,1,0,14.4542,,C
113,0,3,female,20.0,1,0,9.825,,S
114,0,3,female,17.0,0,0,14.4583,,C
119,0,3,female,2.0,4,2,31.275,,S
128,1,3,female,,1,1,22.3583,F E69,C
132,0,3,female,47.0,1,0,14.5,,S
140,0,3,female,,0,2,15.2458,,C
141,1,3,female,22.0,0,0,7.75,,S
142,1,3,female,24.0,1,0,15.85,,S
147,0,3,female,9.0,2,2,34.375,,S
156,1,3,female,16.0,0,0,7.7333,,Q
167,0,3,female,45.0,1,4,27.9,,S
172,1,3,female,1.0,1,1,11.1333,,S
180,0,3,female,,8,2,69.55,,S
184,1,3,female,4.0,0,2,22.025,,S
186,1,3,female,,1,0,15.5,,Q
192,1,3,female,19.0,1,0,7.8542,,S
198,1,3,female,,0,0,7.75,,Q
205,0,3,female,2.0,0,1,10.4625,G6,S
208,1,3,female,16.0,0,0,7.75,,Q
216,1,3,female,27.0,0,0,7.925,,S
229,0,3,female,,3,1,25.4667,,S
233,1,3,female,5.0,4,2,31.3875,,S
235,0,3,female,,0,0,7.55,,S
240,0,3,female,,1,0,14.4542,,C
241,1,3,female,,1,0,15.5,,Q
246,0,3,female,25.0,0,0,7.775,,S
251,0,3,female,29.0,1,1,10.4625,G6,S
254,0,3,female,41.0,0,2,20.2125,,S
255,1,3,female,29.0,0,2,15.2458,,C
264,0,3,female,,0,0,7.75,,Q
274,1,3,female,,0,0,7.75,,Q
276,0,3,female,45.0,0,0,7.75,,S
279,1,3,female,35.0,1,1,20.25,,S
289,1,3,female,22.0,0,0,7.75,,Q
293,0,3,female,24.0,0,0,8.85,,S
300,1,3,female,,0,0,7.75,,Q
315,1,3,female,26.0,0,0,7.8542,,S
328,1,3,female,31.0,1,1,20.525,,S
330,1,3,female,,2,0,23.25,,Q
347,1,3,female,,1,0,16.1,,S
358,1,3,female,,0,0,7.8792,,Q
359,1,3,female,,0,0,7.8792,,Q
362,0,3,female,45.0,0,1,14.4542,,C
367,1,3,female,,0,0,7.2292,,C
368,1,3,female,,0,0,7.75,,Q
374,0,3,female,3.0,3,1,21.075,,S
376,1,3,female,22.0,0,0,7.25,,S
381,1,3,female,1.0,0,2,15.7417,,C
394,1,3,female,24.0,0,2,16.7,G6,S
396,0,3,female,31.0,0,0,7.8542,,S
402,0,3,female,21.0,1,0,9.825,,S
404,0,3,female,20.0,0,0,8.6625,,S
409,0,3,female,,3,1,25.4667,,S
415,0,3,female,,0,0,8.05,,S
419,0,3,female,10.0,0,2,24.15,,S
423,0,3,female,28.0,1,1,14.4,,S
431,1,3,female,,1,0,16.1,,S
436,0,3,female,21.0,2,2,34.375,,S
448,1,3,female,5.0,2,1,19.2583,,C
469,1,3,female,0.75,2,1,19.2583,,C
474,0,3,female,22.0,0,0,9.8375,,S
479,1,3,female,2.0,0,1,12.2875,,S
483,1,3,female,63.0,0,0,9.5875,,S
485,0,3,female,,3,1,25.4667,,S
501,0,3,female,21.0,0,0,7.75,,Q
502,0,3,female,,0,0,7.6292,,Q
503,0,3,female,37.0,0,0,9.5875,,S
533,1,3,female,,0,2,22.3583,,C
534,0,3,female,30.0,0,0,8.6625,,S
541,0,3,female,9.0,4,2,31.275,,S
542,0,3,female,11.0,4,2,31.275,,S
554,1,3,female,22.0,0,0,7.775,,S
559,1,3,female,36.0,1,0,17.4,,S
564,0,3,female,,0,0,8.05,,S
567,0,3,female,29.0,0,4,21.075,,S
573,1,3,female,,0,0,7.75,,Q
578,0,3,female,,1,0,14.4583,,C
593,0,3,female,,0,2,7.75,,Q
610,0,3,female,39.0,1,5,31.275,,S
612,1,3,female,,1,0,15.5,,Q
617,0,3,female,26.0,1,0,16.1,,S
634,0,3,female,9.0,3,2,27.9,,S
638,0,3,female,41.0,0,5,39.6875,,S
642,0,3,female,2.0,3,2,27.9,,S
644,1,3,female,0.75,2,1,19.2583,,C
649,1,3,female,23.0,0,0,7.55,,S
653,1,3,female,,0,0,7.8292,,Q
654,0,3,female,18.0,0,0,6.75,,Q
657,0,3,female,32.0,1,1,15.5,,Q
677,1,3,female,18.0,0,0,9.8417,,S
678,0,3,female,43.0,1,6,46.9,,S
680,0,3,female,,0,0,8.1375,,Q
691,1,3,female,4.0,0,1,13.4167,,C
697,1,3,female,,0,0,7.7333,,Q
702,0,3,female,18.0,0,1,14.4542,,C
727,1,3,female,,0,0,7.7375,,Q
729,0,3,female,25.0,1,0,7.925,,S
736,0,3,female,48.0,1,3,34.375,,S
767,0,3,female,30.5,0,0,7.75,,Q
777,1,3,female,5.0,0,0,12.475,,S
780,1,3,female,13.0,0,0,7.2292,,C
786,1,3,female,18.0,0,0,7.4958,,S
792,0,3,female,,8,2,69.55,,S
797,1,3,female,31.0,0,0,8.6833,,S
799,0,3,female,30.0,1,1,24.15,,S
807,0,3,female,18.0,0,0,7.775,,S
813,0,3,female,6.0,4,2,31.275,,S
816,0,3,female,23.0,0,0,7.925,,S
823,1,3,female,27.0,0,1,12.475,E121,S
830,1,3,female,15.0,1,0,14.4542,,C
852,0,3,female,9.0,1,1,15.2458,,C
855,1,3,female,18.0,0,1,9.35,,S
858,1,3,female,24.0,0,3,19.2583,,C
863,0,3,female,,8,2,69.55,,S
875,1,3,female,15.0,0,0,7.225,,C
882,0,3,female,22.0,0,0,10.5167,,S
885,0,3,female,39.0,0,5,29.125,,Q
888,0,3,female,,1,2,23.45,,S
